	ID produktu	Pe³ny opis produktu w pierwszym jêzyku	Krótki opis produktu w pierwszym jêzyku	Nazwa produktu w pierwszym jêzyku	Pe³ny opis produktu w drugim jêzyku	Krótki opis produktu w drugim jêzyku	Nazwa produktu w drugim jêzyku	Pe³ny opis produktu w trzecim jêzyku	Krótki opis produktu w trzecim jêzyku	Nazwa produktu w trzecim jêzyku	Pe³ny opis produktu w czwartym jêzyku	Krótki opis produktu w czwartym jêzyku	Nazwa produktu w czwartym jêzyku
U	A001	full description	short description	Toshiba A100	full description	short description	Toshiba A100	full description	short description	Toshiba A100	full description	short description	Toshiba A100
U	A002	full description	short description	Toshiba A100	full description	short description	Toshiba A100	full description	short description	Toshiba A100	full description	short description	Toshiba A100
U	A003	full description	short description	Toshiba A100	full description	short description	Toshiba A100	full description	short description	Toshiba A100	full description	short description	Toshiba A100
U	A004	full description	short description	Toshiba A100	full description	short description	Toshiba A100	full description	short description	Toshiba A100	full description	short description	Toshiba A100
U	A005	full description	short description	Toshiba A100	full description	short description	Toshiba A100	full description	short description	Toshiba A100	full description	short description	Toshiba A100
U	A006	full description	short description	Toshiba A100	full description	short description	Toshiba A100	full description	short description	Toshiba A100	full description	short description	Toshiba A100
U	A008	full description	short description	Toshiba A100	full description	short description	Toshiba A100	full description	short description	Toshiba A100	full description	short description	Toshiba A100
U	A009	full description	short description	Toshiba A100	full description	short description	Toshiba A100	full description	short description	Toshiba A100	full description	short description	Toshiba A100
U	A010	full description	short description	Toshiba A100	full description	short description	Toshiba A100	full description	short description	Toshiba A100	full description	short description	Toshiba A100
U	A011	full description	short description	Toshiba A100	full description	short description	Toshiba A100	full description	short description	Toshiba A100	full description	short description	Toshiba A100
